No,名称,よみ,別名,別名よみ,山脈,標高,緯度,経度,都道府県,山域,備考
1,知床岳,しれとこだけ,,,知床,1254,44.23583333,145.2738889,北海道,知床・阿寒,
2,硫黄山,いおうざん,,,知床,1562,44.13333333,145.1613889,北海道,知床・阿寒,
3,知円別岳,ちえんべつだけ,,,知床,1544,44.12472222,145.1686111,北海道,知床・阿寒,☓
4,サシルイ岳,さしるいだけ,,,知床,1564,44.09527778,145.1436111,北海道,知床・阿寒,☓
5,羅臼岳,らうすだけ,,,知床,1661,44.07583333,145.1222222,北海道,知床・阿寒,日本百名山
6,遠音別岳,おんねべつだけ,,,知床,1330,43.99333333,145.0133333,北海道,知床・阿寒,
7,海別岳,うなべつだけ,,,知床,1419,43.87694444,144.8766667,北海道,知床・阿寒,
8,斜里岳,しゃりだけ,,,,1547,43.76555556,144.7177778,北海道,知床・阿寒,日本百名山
9,標津岳,しべつだけ,,,,1061,43.66805556,144.705,北海道,知床・阿寒,
10,藻琴山,もことやま,,,,1000,43.70444444,144.3311111,北海道,知床・阿寒,
11,アトサヌプリ,あとさぬぷり,硫黄山,いおうざん,,508,43.61027778,144.4386111,北海道,知床・阿寒,
12,カムイヌプリ,かむいぬぷり,摩周岳,ましゅうだけ,,857,43.57222222,144.5608333,北海道,知床・阿寒,
13,雄阿寒岳,おあかんだけ,,,,1370,43.45416667,144.1647222,北海道,知床・阿寒,
14,雌阿寒岳,めあかんだけ,,,,1499,43.38638889,144.0086111,北海道,知床・阿寒,日本百名山
15,阿寒富士,あかんふじ,,,,1476,43.37416667,144.0063889,北海道,知床・阿寒,☓
16,ウコタキヌプリ,うこたきぬぷり,,,,747,43.20833333,143.7975,北海道,白糠丘陵,
17,礼文岳,れぶんだけ,,,,490,45.3725,141.0158333,北海道,礼文・利尻,
18,利尻山,りしりざん,,,,1721,45.17861111,141.2419444,北海道,礼文・利尻,日本百名山
19,幌尻山,ぽろしりやま,,,,427,45.16555556,142.0086111,北海道,宗谷丘陵,
20,パンケ山,ぱんけざん,,,,632,44.85694444,142.1497222,北海道,宗谷丘陵,
21,ポロヌプリ山,ぽろぬぷりざん,,,,841,44.96166667,142.4202778,北海道,北見山地,
22,敏音知岳,びんねしりだけ,,,,703,44.89305556,142.2344444,北海道,北見山地,
23,函岳,はこだけ,,,,1129,44.66583333,142.4122222,北海道,北見山地,
24,ピヤシリ山,ぴやしりやま,,,,987,44.43361111,142.5841667,北海道,北見山地,
25,欝岳,うつだけ,,,,818,44.29166667,143.0825,北海道,北見山地,
26,ウェンシリ岳,うぇんしりだけ,,,,1142,44.22888889,142.8763889,北海道,北見山地,
27,渚滑岳,しょこつだけ,,,,1345,44.04027778,142.9175,北海道,北見山地,
28,天塩岳,てしおだけ,,,,1558,43.96444444,142.8880556,北海道,北見山地,日本二百名山
29,チトカニウシ山,ちとかにうしやま,,,,1446,43.90666667,143.0486111,北海道,北見山地,
30,仁頃山,にころやま,,,,829,43.87833333,143.7183333,北海道,北見山地,
31,ニセイカウシュッペ山,にせいかうしゅっぺやま,,,,1883,43.78,142.9852778,北海道,石狩山地,
32,武利岳,むりいだけ,,,,1876,43.73305556,143.1763889,北海道,石狩山地,
33,武華山,むかやま,,,,1759,43.70583333,143.1605556,北海道,石狩山地,
34,北見富士,きたみふじ,,,,1291,43.69361111,143.2958333,北海道,石狩山地,
35,旭岳,あさひだけ,,,大雪山,2291,43.66361111,142.8541667,北海道,石狩山地,日本百名山
36,黒岳,くろだけ,,,大雪山,1984,43.6975,142.9202778,北海道,石狩山地,
37,北鎮岳,ほくちんだけ,,,大雪山,2244,43.69277778,142.8797222,北海道,石狩山地,
38,愛別岳,あいべつだけ,,,大雪山,2113,43.70777778,142.8572222,北海道,石狩山地,
39,白雲岳,はくうんだけ,,,大雪山,2230,43.66111111,142.9058333,北海道,石狩山地,
40,忠別岳,ちゅうべつだけ,,,十勝,1963,43.59111111,142.8944444,北海道,石狩山地,
41,トムラウシ山,とむらうしやま,,,十勝,2141,43.52722222,142.8488889,北海道,石狩山地,日本百名山
42,オプタテシケ山,おぷたてしけやま,,,十勝,2013,43.47027778,142.7516667,北海道,石狩山地,
43,美瑛岳,びえいだけ,,,十勝,2052,43.44,142.7066667,北海道,石狩山地,☓
44,十勝岳,とかちだけ,,,十勝,2077,43.41777778,142.6863889,北海道,石狩山地,日本百名山
45,上ホロカメットク山,かみほろかめっとくやま,,,十勝,1920,43.405,142.6716667,北海道,石狩山地,☓
46,富良野岳,ふらのだけ,,,十勝,1912,43.39361111,142.635,北海道,石狩山地,
47,三国山,みくにやま,,,,1541,43.59527778,143.1463889,北海道,石狩山地,
48,石狩岳,いしかりだけ,,,,1967,43.54666667,143.0222222,北海道,石狩山地,日本二百名山
49,音更山,おとふけやま,,,,1932,43.56166667,143.0352778,北海道,石狩山地,☓
50,ニペソツ山,にぺそつやま,,,,2013,43.45583333,143.0322222,北海道,石狩山地,日本二百名山
51,ウペペサンケ山,うぺぺさんけやま,,,,1848,43.38944444,143.0819444,北海道,石狩山地,
